day	hour	value
1	1	2
1	2	4
1	3	3
1	4	5
1	5	2
1	6	4
1	7	5
1	8	6
1	9	2
1	10	7
1	11	6
1	12	4
1	13	3
1	14	7
1	15	2
1	16	4
1	17	7
1	18	14
1	19	4
1	20	8
1	21	5
1	22	1
1	23	2
1	24	6
2	1	14
2	2	4
2	3	1
2	4	7
2	5	2
2	6	1
2	7	4
2	8	8
2	10	4
2	11	4
2	12	6
2	13	15
2	14	3
2	15	5
2	16	7
2	17	3
2	18	9
2	19	7
2	20	9
2	21	2
2	22	7
2	23	7
2	24	9
3	1	5
3	2	7
3	3	4
3	4	1
3	5	4
3	6	4
3	7	3
3	8	7
3	9	3
3	10	10
3	11	3
3	12	9
3	13	5
3	14	4
3	15	12
3	16	11
3	17	5
3	18	5
3	19	5
3	20	10
3	21	7
3	22	4
3	23	5
3	24	3
4	2	9
4	3	6
4	4	3
4	5	5
4	6	3
4	7	1
4	8	4
4	9	5
4	10	2
4	11	9
4	12	4
4	13	9
4	14	9
4	15	9
4	16	9
4	17	6
4	18	4
4	19	8
4	20	4
4	21	4
4	22	6
4	23	3
4	24	5
5	1	4
5	2	7
5	3	8
5	4	6
5	5	5
5	7	6
5	8	7
5	9	6
5	10	10
5	11	3
5	12	11
5	13	8
5	14	6
5	15	6
5	16	11
5	17	5
5	18	7
5	19	6
5	20	5
5	21	2
5	22	6
5	23	7
5	24	6
6	1	3
6	2	7
6	3	2
6	4	5
6	5	3
6	6	3
6	7	3
6	8	4
6	9	6
6	10	6
6	11	5
6	12	6
6	13	4
6	14	10
6	15	7
6	16	3
6	17	6
6	18	2
6	19	6
6	20	7
6	21	8
6	22	3
6	23	2
6	24	3
7	1	5
7	2	1
7	3	4
7	4	1
7	5	3
7	6	3
7	7	2
7	8	3
7	9	2
7	10	1
7	11	3
7	12	4
7	13	6
7	14	7
7	15	7
7	16	5
7	17	5
7	18	9
7	19	1
7	20	11
7	21	3
7	22	3
7	23	7
7	24	6
