day	hour	value
1	1	10
1	2	9
1	3	5
1	4	4
1	5	4
1	6	4
1	7	4
1	8	6
1	9	10
1	10	11
1	11	11
1	12	20
1	13	23
1	14	23
1	15	13
1	16	15
1	17	23
1	18	20
1	19	16
1	20	15
1	21	16
1	22	11
1	23	13
1	24	10
2	1	19
2	2	9
2	3	2
2	4	10
2	5	12
2	6	5
2	7	5
2	8	9
2	9	9
2	10	11
2	11	10
2	12	17
2	13	21
2	14	28
2	15	13
2	16	28
2	17	18
2	18	17
2	19	15
2	20	13
2	21	6
2	22	13
2	23	16
2	24	19
3	1	16
3	2	14
3	3	11
3	4	7
3	5	7
3	6	7
3	7	5
3	8	9
3	9	5
3	10	18
3	11	16
3	12	19
3	13	18
3	14	26
3	15	25
3	16	23
3	17	14
3	18	25
3	19	21
3	20	18
3	21	18
3	22	17
3	23	16
3	24	12
4	1	7
4	2	23
4	3	12
4	4	12
4	5	7
4	6	4
4	7	7
4	8	5
4	9	16
4	10	18
4	11	20
4	12	13
4	13	17
4	14	20
4	15	21
4	16	26
4	17	25
4	18	12
4	19	21
4	20	11
4	21	14
4	22	11
4	23	9
4	24	8
5	1	9
5	2	14
5	3	8
5	4	14
5	5	12
5	6	6
5	7	9
5	8	7
5	9	14
5	10	24
5	11	11
5	12	22
5	13	15
5	14	17
5	15	19
5	16	15
5	17	21
5	18	22
5	19	14
5	20	9
5	21	8
5	22	18
5	23	16
5	24	16
6	1	15
6	2	12
6	3	8
6	4	9
6	5	7
6	6	7
6	7	8
6	8	5
6	9	5
6	10	9
6	11	6
6	12	15
6	13	8
6	14	18
6	15	16
6	16	14
6	17	12
6	18	16
6	19	11
6	20	15
6	21	14
6	22	8
6	23	5
6	24	9
7	1	3
7	2	4
7	3	6
7	4	8
7	5	5
7	6	4
7	7	2
7	8	1
7	9	5
7	10	5
7	11	8
7	12	5
7	13	11
7	14	12
7	15	14
7	16	6
7	17	16
7	18	19
7	19	5
7	20	8
7	21	11
7	22	7
7	23	6
7	24	5
