,Unnamed: 0,filename,AttackType:Reconnaissance,AttackType:SocialEngineering,AttackType:Malware,AttackType:CredentialPhishing,Attacker Title,Urgency of the attack email,DateAndTime:Date,DateAndTime:time,Attacker Offering,AttackerLocation:Country,AttackerLocation:Region,AttackerLocation:City,AttackerLocation:Country From Content,Attacker Relationship,AttackerSentiment:polarity,AttackerSentiment:subjectivity,AttackerLanguageStyle:misspelling,AttackerLanguageStyle:randomCapital,Estimated Age,Attacker IP Known As Phisher,Total Deaths and Injuries,Total Damage,Disaster Count,GDP per capita,Internet Use,Age dependency,URL Label,URL Length,URL Classification,cosineCluster,ediCluster,jaccardCluster
0,0,0.json,False,True,False,True,soldier,2,2002-10-31,02:38,Money,Zimbabwe,Unknown,Unknown,Zimbabwe,stranger,0.01,0.51,2,3,31.0,unknown,7811.0,1655.428,70.0,1331.01,1.1,81.03,,,,cluster 8,cluster 35,cluster 16
1,1,1.json,False,True,True,False,no title exist,2,2002-10-31,11:10,Money,Nigeria,Unknown,Unknown,Nigeria,stranger,0.16,0.47,2,1,33.0,unknown,7811.0,1655.428,70.0,1598.82,0.32,86.8,,short,,cluster 3,cluster 13,cluster 3
2,2,10.json,True,True,False,False,no title exist,2,2001-11-06,16:52,Money,Unknown,Unknown,Unknown,Unknown,stranger,0.05,0.39,1,2,34.0,unknown,209137.0,7413.5,30.0,,,,,,,cluster 3,cluster 6,cluster 6
3,3,100.json,True,False,False,False,no title exist,2,2003-02-06,15:43,Money,Switzerland,Valais,Sierre,Unknown,stranger,0.1,0.42,1,1,35.0,low,96784.0,11282.3,82.0,67385.3,65.1,47.81,,,,cluster 2,cluster 3,cluster 3
4,4,1000.json,False,False,True,True,prince,2,2004-07-11,10:50,Money,Brunei,Unknown,Unknown,Brunei,unknown,0.07,0.36,3,1,30.0,unknown,464473.0,48757.0,89.0,,,,,short,,cluster 9,cluster 18,cluster 13
5,5,1001.json,False,False,False,True,director,2,2004-07-11,19:50,Money,South Africa,Unknown,Unknown,South Africa,stranger,0.22,0.52,1,1,34.0,unknown,464473.0,48757.0,89.0,6472.11,8.43,56.27,,,,cluster 9,cluster 30,cluster 11
6,6,1002.json,False,False,False,True,director,2,2004-07-11,19:50,Money,South Africa,Unknown,Unknown,South Africa,stranger,0.22,0.52,1,1,34.0,unknown,464473.0,48757.0,89.0,6472.11,8.43,56.27,,,,cluster 9,cluster 30,cluster 11
7,7,1003.json,False,True,False,False,no title exist,1,2004-07-12,16:19,Service,Liberia,Unknown,Unknown,Liberia,stranger,0.08,0.44,1,2,33.0,unknown,464473.0,48757.0,89.0,427.21,0.03,86.0,,,,cluster 11,cluster 46,cluster 1
8,8,1004.json,False,True,False,False,no title exist,1,2004-07-12,16:19,Service,Liberia,Unknown,Unknown,Liberia,stranger,0.08,0.44,1,2,34.0,unknown,464473.0,48757.0,89.0,427.21,0.03,86.0,,,,cluster 11,cluster 17,cluster 2
9,9,1005.json,True,False,True,True,member,1,2004-07-14,05:14,Money,Switzerland,Unknown,Unknown,Switzerland,stranger,0.16,0.54,2,1,32.0,unknown,464473.0,48757.0,89.0,68781.61,67.8,47.49,,short,,cluster 6,cluster 22,cluster 3
