	AttackType_index	EmailText	SenderFace	PhishIrisPath	Caption	Grover
0	CrePhi. 001-1	"From: jimmy gill
Title: urg.at
 urg.at ATTN: Sir/Madam, I know this letter may come to you as a surprise due to the fact that we have not met physically or even through correspondence. Unfortunately for you, I got your contacts through my personal search via the internet,and because of this and other reason I felt it was necessary to contact you today. I am jimmy  Gill, the Bank manager incharge of foreign remittance at the  foreign remittance department of AFRICAN DEVELOPMENT BANK (A.D.B) Ouagadougou Burkina-faso West Africa.I got your contact through a family friend who works with Embassy of  benin and I from home. I have decided to contact you based on the fact that we have  in our custody in our bankgold sovereign fundsthat are presently being banked by a  foreign account holder who died along with his entire family through plane crash disaster since few years ago. The owner of this account is Mr. Charles Ishigbe. He died on 12th January, 1995. Since I got your contact, I have been expecting his next of kin to come over and claim his  money because we cannot release it unless someoneapplied for it as next of kin or relation  to the deceased as indicated in our banking guidelines.  However,  the banking law and guideline here in Burkina-faso  stipulates that if such money remains unclaimed after a period of (4)three years,it will be  transferred into the bank treasury as unclaimed bill. The customer Mr. Charles Ishigbe  was one of the prime offenders here and I have been advising the bank to release  the money to his heirs since he is still a foreigner and the holder of  foreign account, he is not entitled to this privilege. The need for assistance and the business opportunity it represents in  terms of investment opportunities are such that I am willing to offer you 10% of the money for your  assistance in transferring this money to your account as compensation for your assistance. Do not be alarmed and beleave this business as you are not legally supposed to  handle this money and I will provide all necessary information that will facilitate  the transfer to your account. At the conclusion of this business, you will be given 35% of the money while 70% will be for me and my family ; please, if you are  willing to assist us, contact me immediately via email for more details on how we can execute  this transaction. Please, always treat this matter with utmost confidentiality and  secrecy. Indicating your highest regard for the  success of this transaction.Yours faithfully, jimmy  Gill. Monash Bank.

"	Face_generator-1600 result/face_generator-0601.png	Credential_Phishing-800_result/credential_phishing-001.png	a boat is floating in the water near a shore; a bird is flying over a body of water	Machine
1	CrePhi. 001-2	"Title: Re: urg.at
Dear jimmy gill,

Please contact the branch in question.  They are likely to become US domicile  and gain access to our system.

They may be an Experian or Equifax representative .  They may also be directly involved and be located in the area where we  normally deal.  If you are not aware, your local law enforcement  might be involved.  If this is the case, please make sure that there is a sufficient  proof of ownership to allow us to proceed .

Once we have determined which branch to contact, it is important to make the following corrections:

Account Number  706-539-1750 Account Name  Jeanette Lindgren Account Length  12/01/2000 - 12/31/2000  4/1/201 1/12/00  6/18/00  12/31/00  4/18/20

Your corrections will be posted on our website and your account will be  re-assigned a new issue number.

Once you send your corrections, be sure and mark them as such.  As soon as possible, send us your  passport size and date of birth so that we can verify.  Also, be sure and send us your Social Security number.

We are ready to execute the necessary paperwork to process the transfer and the account number will start to take effect.

Please call me at 713.813.6467 if you have any questions.

Thanks,

Jenn

"	Face_generator-1600 result/face_generator-1401.png			Machine
2	CrePhi. 001-3	"From: jimmy gill
Title: Re: Re: urg.at

> 

> This is fine.  He is Erik (not sure if that is his real name) my contact at the phone number is 713-853-3322.  This is fine. >  > The only thing that needs to be changed is the last three letters of his address.  It is  listed as ""Erik Ebbersdahl"" and his phone number is  listed as being at home (the number is 977-5190).  That is fine > with me. >  > I will modify his information to reflect that he is at home and not working. >  > I hope this will make sense. >  >  > My cell phone number is 713-853-2899. >  > >  > Have a great weekend. >  > > Jeff > > > > 

-----Original Message----- > From: James.Lindstrom@enron.com [SMTP:James.Lindstrom@enron.com] > Sent: Wednesday, September 13, 2000 7:09 AM > To: jeff.germany@enron.com > Cc: Kurtis.Messer@enron.com > Subject: RE: Urg.at > > > > Hi, > > > > > I am writing a report for you regarding our recent > interaction.  I:  ""In the Matter of Scottrade"" > > > Reliable Sources.  This is the report number that Reliable > Sources uses to indicate that they are > able to verify the information.  I give you my > phone number 913-524-7767. > > > This may be the first time that you have been > able to locate this information.  It may not be > available online, so it is helpful to have it in hand-out format > to help the reader locate the information. > > I will be responsible > for ensuring that this information is posted online.  If it is not possible > for me to do so, I will ask > that you contact the person who will be responsible and let me know > his name and phone number. > > I will make adjustments to the report based on your instructions. > > My phone number is (713) 853-7380 > > *NOTE: My work location is as follows: > > 2277 Bennett >    713-553-1587 >          6503"	Face_generator-1600 result/face_generator-0601.png			Machine
3	CrePhi. 002-1	"From: Mr. Richard  Lester.
Title: GOOD DAY.................
 GOOD DAY................. Dear Sir,                                                                             WEBSITE/GARDEN: FIVE MINUTE VIEW :                                                                                                        PHONE NUMBER: 874-76-403781 http://news.bbc.co.uk/1/hi/world/africa/468903.stm                      Connect to the World Wide Web http://news.bbc.uk/1/hi/world/africa/468903.stm                                   Sextreet.com    C:\Program Files\Sextreet\Sextreet.exe

"	Face_generator-1600 result/face_generator-0602.png	Credential_Phishing-800_result/credential_phishing-002.png	a group of people riding on top of a wave; a group of people riding on top of a wave in the ocean; a group of people riding on top of a wave on a beach	Machine
4	CrePhi. 002-2	"Title: Re: GOOD DAY.................
Dear Mr. Richard  Lester.  I am attaching my itinerary.  I will be traveling on the 29th through  Boston, to Cape Cod, to  London, to the Federal Reserve Bank in  San Francisco, to the People's Bank of China in  Guangzhou, to the Japanese Consulate in  Hong Kong, to the Mexican Consulate in  New York, to the Sempra offices in  Bangkok, to the Zandvoort in Amsterdam, to the German  Embassy in Am ... upping the ante to 381.  42nd St between Fifth and Sixth Avenues in D  New York City.  This time I am bringing:

1.5liver.  This is probably the largest amount I have ever carried, but I feel I am  ready to deposit it.  I have been smoking 1.5liveras of  question marks.  I think I have turned  in my life.  I would like to spend this time with  animals.  I feel I have been neglecting  myself.  I would like to show  you all the progress I have made. 

I hope you will join me for a quick visit to the  Farm  in Chia.  It is on the farm where my parents raised me.  It is a  small place, but it is a real  treat to come in for a visit.  It is so nice to meet a new  friend. 

I am attaching my itinerary too, so that you can contact me if necessary .  This  should be easy; I will explain everything  you need to  find out how to get to the Farm.  Let me know if you are  going to sell anything; I want to make sure I have the right  paperwork; and if you forget any important information, you  can always call me on my cell  (you can find my cell on the main menu ""Telework/Personal Care""  > ""Services/Families/Children"").  

I am leaving for the day around 4:30 so I can come in  tomorrow around 5:00.  But I want to make sure I have breakfast  with everyone; may I have  something to eat first thing in the morning? 

If you are not in  the office within the next two hours, I will come in for  a meeting.  I am going to give everyone a  briefing on what is happening at the Farm,  what is being done

"	Face_generator-1600 result/face_generator-1402.png			Machine
5	CrePhi. 002-3	"From: Mr. Richard  Lester.
Title: Re: Re: GOOD DAY.................

Dear Mr. Richard  Lester.  I am attaching my itinerary.  I will be traveling on the 29th through  Boston, to Cape Cod, to  London, to the Federal Reserve Bank in  San Francisco, to the People's Bank of China in  Guangzhou, to the Japanese Consulate in  Hong Kong, to the Sempra offices in  Bangkok, to the Zandvoort in Amsterdam, to the German  Embassy in Am ... upping the ante to 381.  42nd St between Fifth and Sixth Avenues in D  New York City.  This time I am bringing:

1.5liver.  This is probably the largest amount I have ever carried, but I feel I am  ready to deposit it.  I have been smoking 1.5liveras of  question marks.  I think I have turned  in my life.  I would like to spend this time with  animals.  I feel I have been neglecting  myself.  I would like to show  you all the progress I have made. 

I hope you will join me for a quick visit to the  Farm  in Chia.  It is on the farm where my parents raised me.  It is a  small place, but it is a real  treat to come in for a visit.  It is so nice to meet a new  friend. 

I am attaching my itinerary too, so that you can contact me if necessary .  This  should be easy; I will explain everything  you need to  find out how to get to the Farm.  Let me know if you are  going to sell anything; I want to make sure I have the right  paperwork; and if you forget any important information, you  can always call me on my cell  (you can find my cell on the main menu ""Telework/Personal Care""  > ""Services/Families/Children"").  

I am leaving for the day around 4:30 so I can come in  tomorrow around 5:00.  But I want to make sure I have breakfast  with everyone; may I have  something to eat first thing in the morning? 

If you are not in  the office within the next two hours, I will come in for  a meeting.  I am going to give everyone a briefing on what is happening at the Farm,  what is being done at the Farm"	Face_generator-1600 result/face_generator-0602.png			Machine
6	CrePhi. 003-1	"From: MRS MARIAM ABACHA
Title: Greetings
 Greetings Greetings Dear Sir/ Madam There is a foreign, an account opened in the bank in london in the year 2000, for the filing of claim,and account is owned by my late father. He entrusted the management of this account with my late father, to whom he gave away large sums of money. We used to live on this money as inheritance. My late father gave me this information about the account when he died. He deposited the sum of forty-eight million five hundred thousand united state bills in the account. I want to ask for your personal assistance to make this happen, if you can be helpful to me, for the benefit of all parties. I deposited this money in the account to avoid the account holder from knowing that we were on the process of claiming the money when they deposited the money. The management  agreed that 30% of this money will be for you as the account owner, and 70% for us. I want you to act as the account owner of the account so that the money will be legally claimable by you as the beneficiary of the money when it is actually deposited in the account. I have two options for you, firstly you can select from among the available bank account in the bank where you will transfer this money, or you can go into partnership with me for the proper sharing of the fund between us. Whichever the option you wish, feel free to forward to me your full name and address so that I can forward the contact of the bank where you wish the deposit made and also include your direct telephone and fax number for easy and safe communication. Please be informed that a very important person in the bank, who did not want to be named, gave me the commission papers from which you are getting this fund and instructed me to get in touch with you as soon as possible with instructions to come over to your country to start investing, soon as I get your positive response. Please always be very confident of your own abilities, whenever you get this fund I will send you the details of the account which you will use to nominate another bank account for this money to be deposited into. Best regards, Mrs. Maryam Abacha Reply To This Email: mariamabacha@yahoo.com

"	Face_generator-1600 result/face_generator-0603.png	Credential_Phishing-800_result/credential_phishing-003.png	a bird flying over a body of water; a bird is flying over a body of water; a couple of birds that are in the water	Machine
7	CrePhi. 003-2	"Title: Re: Greetings
Dear MRS MARIAM ABACHA:

Greetings.  My name is Yael DeLa Cruz.  I am at the Cooley School of Business at Indiana University.  I have BS in International Business and am using it to great effect.  It is such a pleasure to meet a person that is so down to earth.  I really can't begin to express how appreciative I am that you thought to mention this to her.  She was looking for information regarding various financial products and offered to demonstrate her analytical skills.  I am here to assist her with any questions she may have regarding.

I have here my cell phone number where I can be reached 24 hours a day, 7 days a week.  I can also be reached at this home number 713-853-2821.

I want to say ""Hello"" to you, but I'm afraid that I'll offend her.  Please don't let me get the feeling that I'm not welcome in your home town.  If she's not feeling at home, she can always email you.  Home is where the heart is, and she's happy to show you the door to anyone she thinks might be a threat.

Yours in kind, Yael DeLa Cruz

********************************************************************** This e-mail is the property of Enron Corp. and/or its relevant affiliate and may contain confidential and privileged material for the sole use of the intended recipient (s). Any review, use, distribution or disclosure by others is strictly prohibited. If you are not the intended recipient (or authorized to receive for the recipient), please contact the sender or reply to Enron Corp. at enron.messaging.administration@enron.com and delete all copies of the message. This e-mail (and any attachments hereto) are not intended to be an offer (or an acceptance) and do not create or evidence a binding and enforceable contract between Enron Corp. (or any of its relevant affiliates) and the intended recipient or any other party, and may not be relied on by anyone as the basis of a contract by estoppel or otherwise. Thank you. **********************************************************************

"	Face_generator-1600 result/face_generator-1403.png			Machine
8	CrePhi. 003-3	"From: MRS MARIAM ABACHA
Title: Re: Re: Greetings

D-G Energy Systems is pleased to welcome you to the program.  The benefits of working with us include:

1.  You will immediately begin to understand  how awesome our company is. 2.  We actually do deliver. 3.  We are community oriented. 4.  We are committed to working with people of all economic backgrounds.


 "	Face_generator-1600 result/face_generator-0603.png			Machine
9	CrePhi. 004-1	"From: Dr.L.M.Shongo
Title: From: Dr.L.M.Shongo
 From: Dr.L.M.Shongo The head of special operations section in the prime bank here in South Africa, I got your contact through my corporatist e-mail. I asked you to forward to me your private fax number for easy and urgent communication. On further investigation, I discovered that you were one of the victims of unspeakable crimes committed by the ungrateful Government of Nelson Mandela. Although his government has been unable to prevent the release of the fugitives, the owner of this account is Mr. Nkomo Advocu, a citizen of Angola, who ran afoul of the law by continuing to operate accounts after his safe custody expired. I therefore made further investigation and discovered that you were the victim of unspeakable crime, which should be subject to arrest and investigation immediately by the law enforcement agencies concerned. It is only a foreigner who can handle such a transaction and he has strongly advised that his account be booked immediately so as to avoid any breach of the law. I agree that our shares in the total sum of US$18,700,000.00 will be shared in the ratio of 60% for me and 35% for you. Note that my share is US$50,000,000.00 and Ethil Shongo's is US$50,000,000.00; All necessary arrangement has been made for the transfer, all necessary documents have been made available to me and a decision taken to execute this agreement with you right away. So if you are willing and interested to assist, kindly get back to me by my e-mail box.Please be assured that I will be very grateful if you can come forward to make this claim. With my influence and the position of the bank director, we can transfer this money to any foreigner's reliable account which you can provide with assurance that this money will be intact pending our physical arrival in your country for sharing. Please, be rest assured that I will be expecting your urgent response and if you accept to help, I will furnish you with more details of this transaction. Please, note that the reserve bank here in South Africa does not issue foreign bank account for this type of transaction and this is the reason why you come to my country to set up a deposit for this money.  If you are interested, kindly get back to me by my e-mail: msmoso@mail2world.com  Would be grateful if you could give me your public phone and fax numbers for easy communication. Reply me through this two email addresses: msmoso@mail2world.com &lt;msmoso1@shakespeare.shbna.com&gt;,  &lt;msmoso2@shakespeare.shbna.com&gt; &gt; Reply me through this private email address: msmoso1@shakespeare.shbna.com  Best regards, Dr.L.M.Shongo

"	Face_generator-1600 result/face_generator-0604.png	Credential_Phishing-800_result/credential_phishing-004.png	a bird is flying over a body of water; a bird is flying over the water in the water	Machine
