day	hour	value
1	1	6
1	2	4
1	3	5
1	4	7
1	5	3
1	6	4
1	7	5
1	8	10
1	9	3
1	10	10
1	11	13
1	12	15
1	13	17
1	14	17
1	15	10
1	16	8
1	17	15
1	18	7
1	19	7
1	20	9
1	21	9
1	22	7
1	23	5
1	24	7
2	1	16
2	2	9
2	3	3
2	4	12
2	5	8
2	6	5
2	7	4
2	8	11
2	9	5
2	10	6
2	11	8
2	12	15
2	13	16
2	14	14
2	15	8
2	16	14
2	17	13
2	18	6
2	19	10
2	20	6
2	21	7
2	22	10
2	23	8
2	24	13
3	1	10
3	2	6
3	3	5
3	4	3
3	5	6
3	6	4
3	7	3
3	8	9
3	9	5
3	10	13
3	11	13
3	12	14
3	13	11
3	14	18
3	15	19
3	16	20
3	17	10
3	18	11
3	19	13
3	20	15
3	21	6
3	22	10
3	23	11
3	24	6
4	1	5
4	2	20
4	3	6
4	4	3
4	5	1
4	6	3
4	7	5
4	8	4
4	9	21
4	10	5
4	11	15
4	12	5
4	13	11
4	14	15
4	15	21
4	16	18
4	17	11
4	18	7
4	19	12
4	20	5
4	21	10
4	22	15
4	23	5
4	24	6
5	1	8
5	2	10
5	3	9
5	4	10
5	5	5
5	6	4
5	7	8
5	8	7
5	9	5
5	10	17
5	11	8
5	12	22
5	13	8
5	14	8
5	15	13
5	16	13
5	17	14
5	18	13
5	19	10
5	20	9
5	21	4
5	22	8
5	23	10
5	24	10
6	1	8
6	2	7
6	3	6
6	4	10
6	5	3
6	6	2
6	7	6
6	8	5
6	9	3
6	10	11
6	11	7
6	12	11
6	13	11
6	14	18
6	15	10
6	16	9
6	17	7
6	18	6
6	19	8
6	20	9
6	21	11
6	22	3
6	23	3
6	24	7
7	1	7
7	2	3
7	3	4
7	4	4
7	5	1
7	6	2
7	7	1
7	8	2
7	9	8
7	10	5
7	11	2
7	12	8
7	13	10
7	14	8
7	15	7
7	16	7
7	17	6
7	18	10
7	19	3
7	20	14
7	21	6
7	22	6
7	23	8
7	24	8
